RUSHING,GP,ATT,ATT/G,YDS,AVG,YDS/G,TD,LNG,BIG,100+,STUFF,YDS,FUM,FUML,1ST,PCT
"1ÿHunt, KareemÿKC",16,272,17,1327,4.9,82.9,8,69,35,6,24,46,1,1,60,22.10%
"2ÿGurley II, ToddÿLAR",15,279,18.6,1305,4.7,87,13,57,39,6,33,70,5,2,66,23.70%
"3ÿBell, Le'VeonÿPIT",15,321,21.4,1291,4,86.1,9,27,33,4,27,64,2,2,74,23.10%
"4ÿMcCoy, LeSeanÿBUF",16,287,17.9,1138,4,71.1,6,48,33,4,55,133,3,1,56,19.50%
"5ÿIngram, MarkÿNO",16,230,14.4,1124,4.9,70.3,12,72,23,4,12,26,2,2,50,21.70%
"6ÿHoward, JordanÿCHI",16,276,17.3,1122,4.1,70.1,9,53,32,5,44,107,1,1,61,22.10%
"7ÿGordon, MelvinÿLAC",16,284,17.8,1105,3.9,69.1,8,87,34,2,37,75,1,0,58,20.40%
"8ÿFournette, LeonardÿJAX",13,268,20.6,1040,3.9,80,9,90,18,5,32,57,2,0,46,17.20%
"9ÿAnderson, C.J.ÿDEN",16,245,15.3,1007,4.1,62.9,3,40,21,2,21,37,1,1,47,19.20%
"10ÿElliott, EzekielÿDAL",10,242,24.2,983,4.1,98.3,7,30,21,5,19,56,1,1,55,22.70%
"11ÿCollins, AlexÿBAL",15,212,14.1,973,4.6,64.9,6,50,27,2,29,67,2,2,51,24.10%
"12ÿGore, FrankÿIND",16,261,16.3,961,3.7,60.1,3,21,19,2,26,50,3,0,49,18.80%
"13ÿHyde, CarlosÿSF",16,240,15,938,3.9,58.6,8,61,27,1,33,72,2,1,44,18.30%
"14ÿLewis, DionÿNE",16,180,11.3,896,5,56,6,44,25,2,19,38,0,0,48,26.70%
"15ÿLynch, MarshawnÿOAK",15,207,13.8,891,4.3,59.4,7,51,21,2,21,36,1,1,44,21.30%
"16ÿMiller, LamarÿHOU",16,238,14.9,888,3.7,55.5,3,21,22,0,22,43,1,0,43,18.10%
"17ÿAjayi, JayÿPHI",14,208,14.9,873,4.2,62.4,1,71,23,2,36,77,3,2,39,18.80%
"18ÿFreeman, DevontaÿATL",14,196,14,865,4.4,61.8,7,44,22,2,15,32,4,1,49,25.00%
"19ÿCrowell, IsaiahÿCLE",16,206,12.9,853,4.1,53.3,2,59,22,1,20,56,1,1,38,18.40%
"20ÿMurray, LataviusÿMIN",16,216,13.5,842,3.9,52.6,8,46,20,2,24,50,1,0,42,19.40%
"21ÿPowell, BilalÿNYJ",15,178,11.9,772,4.3,51.5,5,75,20,2,24,44,0,0,30,16.90%
"22ÿBlount, LeGarretteÿPHI",16,173,10.8,766,4.4,47.9,2,68,20,1,23,55,1,1,30,17.30%
"23ÿNewton, CamÿCAR",16,139,8.7,754,5.4,47.1,6,69,20,0,6,15,6,1,46,33.10%
"24ÿDarkwa, OrleansÿNYG",15,171,11.4,751,4.4,50.1,5,75,16,2,12,29,1,0,33,19.30%
"25ÿHenry, DerrickÿTEN",16,176,11,744,4.2,46.5,5,75,20,2,26,77,1,0,39,22.20%
"26ÿKamara, AlvinÿNO",16,120,7.5,728,6.1,45.5,8,74,27,1,8,21,1,1,40,33.30%
"27ÿStewart, JonathanÿCAR",15,198,13.2,680,3.4,45.3,6,60,15,2,22,51,3,3,41,20.70%
"28ÿMurray, DeMarcoÿTEN",15,184,12.3,659,3.6,43.9,6,75,9,1,17,41,1,1,29,15.80%
"29ÿDrake, KenyanÿMIA",16,133,8.3,644,4.8,40.3,3,66,16,2,21,61,2,2,24,18.00%
"30ÿColeman, TevinÿATL",15,156,10.4,628,4,41.9,5,52,14,0,21,58,1,0,27,17.30%
"31ÿMixon, JoeÿCIN",14,178,12.7,626,3.5,44.7,4,25,17,1,28,72,1,1,35,19.70%
