RUSHING,GP,ATT,YDS,AVG,YDS/G,TD,BIG,FUM,FUML,STUFF,YDS
1ÿÿJacksonville,16,527,2262,4.3,141.4,18,48,9,3,43,-95
2ÿÿDallas,16,480,2170,4.5,135.6,18,59,1,1,39,-99
3ÿÿPhiladelphia,16,473,2115,4.5,132.2,9,64,11,5,57,-145
4ÿÿCarolina,16,490,2102,4.3,131.4,15,53,10,5,44,-115
5ÿÿNew Orleans,16,444,2070,4.7,129.4,23,54,6,3,31,-82
6ÿÿBuffalo,16,487,2017,4.1,126.1,12,60,8,2,67,-166
7ÿÿMinnesota,16,501,1957,3.9,122.3,15,48,4,3,55,-135
8ÿÿLos Angeles,16,454,1953,4.3,122.1,17,59,8,3,48,-118
9ÿÿKansas City,16,405,1903,4.7,118.9,12,52,7,2,36,-85
10ÿÿNew England,16,448,1889,4.2,118.1,16,43,4,2,38,-83
11ÿÿBaltimore,16,460,1856,4,116,14,49,6,3,56,-127
12ÿÿDenver,16,457,1852,4.1,115.8,8,42,6,3,37,-63
13ÿÿAtlanta,16,430,1847,4.3,115.4,12,50,10,4,43,-103
14ÿÿHouston,16,448,1842,4.1,115.1,8,40,4,1,40,-76
15ÿÿTennessee,16,443,1833,4.1,114.6,18,43,4,2,49,-131
16ÿÿChicago,16,422,1788,4.2,111.8,13,53,10,4,69,-180
17ÿÿGreen Bay,16,386,1724,4.5,107.8,13,37,5,2,22,-42
18ÿÿCleveland,16,384,1714,4.5,107.1,11,50,6,2,30,-81
19ÿÿNew York,16,427,1702,4,106.4,13,46,6,3,52,-95
20ÿÿPittsburgh,16,437,1667,3.8,104.2,12,47,6,2,37,-95
21ÿÿSan Francisco,16,408,1662,4.1,103.9,15,53,7,2,46,-104
22ÿÿIndianapolis,16,451,1661,3.7,103.8,11,40,8,1,52,-121
23ÿÿSeattle,16,409,1629,4,101.8,4,60,7,1,51,-117
24ÿÿLos Angeles,16,419,1595,3.8,99.7,10,47,7,1,52,-114
25ÿÿOakland,16,370,1554,4.2,97.1,13,39,9,4,42,-98
26ÿÿNew York,16,394,1549,3.9,96.8,6,35,5,1,37,-107
27ÿÿTampa Bay,16,389,1450,3.7,90.6,8,30,8,3,34,-71
28ÿÿWashington,16,401,1448,3.6,90.5,10,36,10,3,47,-100
29ÿÿMiami,16,360,1388,3.9,86.8,4,31,6,3,57,-136
30ÿÿArizona,16,409,1386,3.4,86.6,6,27,9,3,42,-91
31ÿÿCincinnati,16,377,1366,3.6,85.4,6,42,4,3,48,-116
32ÿÿDetroit,16,363,1221,3.4,76.3,10,34,6,3,52,-116
